PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
213636322,19211839,11,2019-10-16T18:00:00,"1400 Block Shady Ave Pittsburgh, PA 15217",N,Squirrel Hill North,4,THEFT BY DECEPTION,3922 Theft by Deception.,1403,8,3,-79.9204971501203,40.4438340950571
213657378,19212030,6,2019-10-17T14:00:00,"1400 Block Buena Vista St Pittsburgh, PA 15212",N,Central North Side,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2503,6,1,-80.0141543734819,40.4566434917562
213661807,19212054,10,2019-10-17T16:00:00,"100 Block Robinson St Pittsburgh, PA 15213",N,West Oakland,4,HARRASSMENT,2709 Harassment (Non-Specific),402,6,3,-79.9654480467596,40.4387635619748
214553154,19221968,10,2019-10-31T01:45:00,"800 Block Freeland St Pittsburgh, PA 15210",Y,Allentown,3,SIMPLE ASSAULT,2701 Simple Assault. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 2901 Kidnapping.,1803,3,5,-79.9936418040012,40.4191509024555
214557882,19222313,0,2019-10-31T13:49:00,"1700 Block Murray Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): ,1413,5,3,-79.9231547045145,40.4379249093786
214560151,19222290,99,2019-10-31T15:18:00,"4700 Block Forbes  Ave Pittsburgh, PA 15213",N,Squirrel Hill North,4,ACCIDENTAL FIRE,9018 Accidental Fire,1401,8,3,-79.9466865121694,40.4445210043869
214565997,19222510,99,2019-10-31T19:10:00,"1400 Block Hawthorne St Pittsburgh, PA 15201",N,Stanton Heights,5,LOST PROPERTY,9504 Lost Property,1018,7,2,-79.9354954446156,40.4831683946564
214570200,19222615,6,2019-10-31T21:25:00,"1900 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,THEFT,"3921 Theft by Unlawful Taking or Disposition. / 3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means",2901,4,3,-79.9875088066487,40.3960603966567
-3378003969,19222922,5,2019-11-01T05:00:00,"2200 Block Spring St Pittsburgh, PA 15210",N,Arlington,3,BURGLARY,3502 Burglary.,1603,3,3,-79.9760258567796,40.4162545064803
214590039,19222941,0,2019-11-01T08:15:00,"400 Block Frayne St Pittsburgh, PA 15207",N,Hazelwood,4,99,9999 9999 - (Misc. Incident): ,1515,,,0,0
214600317,19223061,14,2019-11-01T10:00:00,"900 Block Davis Ave Pittsburgh, PA 15212",N,Brighton Heights,1,CRIM MISCHIEF,3304 Criminal Mischief.,2708,1,1,-80.0266157606016,40.481711740996
214602158,19223019,14,2019-11-01T10:30:00,"2300 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",2902,4,3,-79.9855231716653,40.3890572692795
214606184,19223125,11,2019-10-31T00:01:00,"400 Block N St Clair St Pittsburgh, PA 15206",N,East Liberty,5,CREDIT CARDS,4106 Access Device Fraud,1115,9,2,-79.9269066301245,40.4659824163615
214609456,19223126,6,2019-10-16T00:01:00,"1400 Block Hubbard St Pittsburgh, PA 15212",N,Brighton Heights,1,THEFT FROM AUTO,3934 Theft from Vehicle / 4106 Access Device Fraud,2703,1,1,-80.0360767602131,40.4779651663342
214153716,19217796,99,2019-10-25T15:59:00,"500 Block El Ct Pittsburgh, PA 15221",N,Homewood South,5,MENTAL 201/302,9498 302 (Mental),1304,,,0,0
214174953,19218270,27,2019-10-26T04:06:00,"100 Block Kirk Ave Pittsburgh, PA 15210",N,Carrick,3,DUI - GENERAL IMPAIRMENT,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3802(a)(1) DUI - General Impairment,2904,,,0,0
214190825,19218430,10,2019-10-26T11:20:00,"3300 Block Liberty Ave Pittsburgh, PA 15201",Y,Lower Lawrenceville,2,RESIST ARREST/OTHER LAW ENFORC,5104 Resisting Arrest or Other Law Enforcement. / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 4703 Operation of Vehicle without Official Certif. of Inspection / 4524 Windshield Obstructions and Wipers. / 627.02(b)(i) Possessing a small amount of marijuana,603,7,6,-79.967608181354,40.4613238230245
214193022,19218520,99,2019-10-26T09:00:00,"1200 Block Mimosa Way Pittsburgh, PA 15212",N,Central North Side,1,FOUND PROPERTY,9489 Found Property,2206,1,1,-80.0133002579438,40.4548479590491
214197179,19212049,6,2019-10-17T16:09:00,"Forbes Ave & Atwood St Pittsburgh, PA 15213",Y,Central Oakland,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,405,3,3,-79.9576291371076,40.4410980089075
214202127,19218583,6,2019-10-26T15:30:00,"700 Block General Robinson St W Pittsburgh, PA 15212",N,North Shore,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2205,,,0,0
214202319,19218619,6,2019-10-26T17:30:00,"Schenley Dr & Frew St Ext Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake. / 4106 Access Device Fraud / 3304 Criminal Mischief.",1413,5,3,-79.9481885277887,40.4408070584254
214210556,19214579,10,2019-10-21T04:49:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Business District,2,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",201,6,6,-79.9960409452176,40.4350395659104
214222662,19214853,11,2019-10-23T14:40:00,"70 Block Pasadena St Pittsburgh, PA 15211",Y,Mount Washington,3,THEFT BY DECEPTION,3922 Theft by Deception.,1807,3,5,-80.0019401734579,40.4232787349823
214228548,19219156,27,2019-10-27T10:50:00,"800 Block Adelaide St Pittsburgh, PA 15219",N,Upper Hill,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,506,6,3,-79.9599839379085,40.4540133002855
214348650,19220743,99,2019-10-29T04:00:00,"1200 Block Western Ave Pittsburgh, PA 15233",N,Chateau,1,DRUG INVESTIGATION,9124 Drug Investigation,2108,6,1,-80.0219684615574,40.4512177173984
214351161,19220697,5,2019-10-28T21:30:00,"900 Block James St Pittsburgh, PA 15212",N,East Allegheny,1,BURGLARY,3502 Burglary. / 3304 Criminal Mischief.,2304,,,-79.8776174046649,40.4471874352125
-3319012575,19220746,27,2019-10-29T12:05:00,"5000 Block 2nd Ave Pittsburgh, PA 15207",N,Hazelwood,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1515,5,3,-79.9436863570209,40.4085502514463
214359610,19220727,27,2019-10-28T22:00:00,"400 Block Cherry Way Pittsburgh, PA 15219",N,Central Business District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,201,6,6,-79.9986102288747,40.4387474303461
214365212,19220820,99,2019-10-29T14:00:00,"1500 Block Brighton Rd Pittsburgh, PA 15212",N,California-Kirkbride,1,DRUG INVESTIGATION,9124 Drug Investigation,2507,6,1,-80.0165685056208,40.4568744092444
-3390000276,19220761,6,2019-10-27T12:32:00,"500 Block Penn Ave Pittsburgh, PA 15222",N,Central Business District,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,201,7,2,-79.9435820869511,40.464893357809
-3344000836,19220788,5,2019-10-29T13:19:00,"100 Block Dawes St Pittsburgh, PA 15210",N,Arlington,3,BURGLARY,3502 Burglary.,1603,1,1,-80.0379253696126,40.4810703259512
214371345,19220726,6,2019-10-26T11:15:00,"7100 Block Frankstown Ave Pittsburgh, PA 15208",N,Homewood South,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1303,9,2,-79.8985004674126,40.4578978331942
214372359,19220885,99,2019-10-29T10:00:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",N,Highland Park,5,DRUG INVESTIGATION,9124 Drug Investigation,1106,9,2,-79.9086166765251,40.4703056329977
214372838,19220843,6,2019-10-25T00:01:00,"Arcola Way Pittsburgh, PA 15212",N,Spring Garden,1,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",2412,1,1,-79.9917934764289,40.460729496737
213328956,19207993,6,2019-10-12T05:00:00,"2600 Block Maple Ave Pittsburgh, PA 15214",N,Perry South,1,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,2615,,,0,0
213097908,19204948,26,2019-10-12T08:30:00,"300 Block Boulevard of the Allies Pittsburgh, PA 15222",Y,Bluff,2,MEGANS LAW VIOLATION,4915 Failure to Comply with Megans Law,103,6,6,-80.0018566639174,40.4380991224729
-3327001272,19208397,11,2019-10-12T19:00:00,"1200 Block Dickens St Pittsburgh, PA 15220",N,Crafton Heights,6,CREDIT CARDS,4106 Access Device Fraud,2814,2,5,-80.046363506942,40.4455519501313
213350152,19208645,5,2019-10-13T01:00:00,"2300 Block Wellington St Pittsburgh, PA 15203",N,South Side Slopes,3,BURGLARY,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304 Criminal Mischief.,1608,,,0,0
213358696,19208874,6,2019-10-13T11:00:00,"500 Block Market St Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,201,6,6,-80.0020864900599,40.4414118012609
-3308002651,19208959,10,2019-10-13T14:00:00,"300 Block E Warrington Ave Pittsburgh, PA 15210",N,Beltzhoover,3,SIMPLE ASSAULT,2709 Harassment (Non-Specific) / 2701 Simple Assault.,1809,3,5,-80.0023196507148,40.4209340242423
-2816041283,19208940,99,2019-10-13T14:10:00,"1600 Block Rutledge St Pittsburgh, PA 15211",Y,Duquesne Heights,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1911,2,5,-80.0236969509156,40.439722885363
214399967,19221223,10,2019-10-30T01:30:00,"300 Block S Main St Pittsburgh, PA 15220",N,West End,6,SIMPLE ASSAULT,2701 Simple Assault.,2019,7,2,-79.9579476679689,40.4673830136992
214417601,19221372,14,2019-10-27T22:00:00,"1700 Block Bentley Dr Pittsburgh, PA 15219",N,Crawford-Roberts,2,CRIM MISCHIEF,3304 Criminal Mischief.,305,,,0,0
214444463,19221431,0,2019-10-30T11:00:00,"800 Block Phineas St Pittsburgh, PA 15212",N,East Allegheny,1,99,9999 9999 - (Misc. Incident): ,2304,,,0,0
214452218,19221499,5,2019-10-30T11:39:00,"1100 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,BURGLARY,3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition.,2901,4,3,-79.9909025434676,40.4049473205906
214453737,19221448,10,2019-10-30T11:30:00,"300 Block La Marido St Pittsburgh, PA 15226",Y,Brookline,6,HARRASSMENT,2709 Harassment (Non-Specific),1917,4,5,-80.0180780445483,40.4003518342145
214455723,19221392,27,2019-10-30T08:30:00,"500 Block Chautauqua St Pittsburgh, PA 15214",N,Perry South,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2614,6,1,-80.0152187444409,40.4652049157821
214477256,19221607,15,2019-10-30T15:00:00,"5th Ave & Dinwiddie St Pittsburgh, PA 15219",Y,Bluff,2,FIREARMS NOT TO BE CARRIED WO LICENSE,6106 Firearms not to be Carried without a License. / 6110.1 Possesion of Firearm by Minor,103,6,3,-79.9807785023313,40.4383675079078
214488007,19221812,99,2019-10-30T19:52:00,"Frankstown Ave & Wheeler St Pittsburgh, PA 15221",Y,Homewood North,5,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,1301,9,2,-79.8847350093177,40.4553487592882
214490440,19221794,4,2019-10-30T19:30:00,"500 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,AGG-ASSAULT,2702 Aggravated Assault.,201,6,6,-80.0035931077627,40.4412175503666
214491043,19221827,3,2019-10-30T19:48:00,"800 Block Pennsylvania Ave Pittsburgh, PA 15233",N,California-Kirkbride,1,ROBBERY,3701 Robbery.,2507,6,1,-80.0153885611041,40.4561055557159
213662667,19212059,6,2019-10-17T12:00:00,"1200 Block Wightman St Pittsburgh, PA 15217",N,Squirrel Hill North,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1402,8,3,-79.9284692220122,40.4456861148031
213664304,19212104,0,2019-10-17T18:15:00,"1500 Block Brighton Rd Pittsburgh, PA 15212",N,California-Kirkbride,1,99,9999 9999 - (Misc. Incident): PFA service(Weapons),2507,6,1,-80.0165685056208,40.4568744092444
213666664,19212128,6,2019-10-16T16:40:00,"5800 Block Elwood St Pittsburgh, PA 15232",N,Shadyside,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,705,8,2,-79.9291825898111,40.4534396749355
213669622,19212137,0,2019-10-17T18:01:00,"General Robinson St E Pittsburgh, PA 15212",N,Elliott,1,99,9999 9999 - (Misc. Incident): Accident No Tows or Injuries,2020,,,0,0
213669112,19212183,99,2019-10-17T19:33:00,"1600 Block Hybla St Pittsburgh, PA 15212",N,Brighton Heights,1,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),2703,,,0,0
213669393,19211757,99,2019-10-17T04:00:00,"1500 Block Brighton Rd Pittsburgh, PA 15212",N,California-Kirkbride,1,DRUG INVESTIGATION,9124 Drug Investigation,2507,6,1,-80.0165685056208,40.4568744092444
213670898,19211758,99,2019-10-16T03:00:00,"1500 Block Brighton Rd Pittsburgh, PA 15212",N,California-Kirkbride,1,DRUG INVESTIGATION,9124 Drug Investigation,2507,6,1,-80.0165685056208,40.4568744092444
-3341000877,19212312,6,2019-10-17T04:49:00,"1400 Block Sandusky St N Pittsburgh, PA 15212",N,Central North Side,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2206,6,1,-80.0051262152116,40.4577151975492
213678610,19212368,0,2019-10-18T01:15:00,"2600 Block Railroad St Pittsburgh, PA 15201",N,Central Business District,2,99,9999 9999 - (Misc. Incident): lost phone,201,,,0,0
213678770,19212360,99,2019-10-18T01:10:00,"1500 Block Reedsdale St Pittsburgh, PA 15233",N,Chateau,1,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,2108,6,1,-80.0275331583464,40.4499101960535
213685802,19212457,5,2019-10-18T05:31:00,"1000 Block Valonia St Pittsburgh, PA 15220",N,Elliott,6,BURGLARY,3502 Burglary.,2020,2,5,-80.0369370939574,40.446490062726
213686494,19212462,29,2019-10-18T05:34:00,"900 Block Highview St Pittsburgh, PA 15206",N,Morningside,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1014,7,2,-79.9290672223551,40.4746044218056
-3266010951,19222729,0,2019-11-01T00:10:00,"Welsford St & Zulema St Pittsburgh, PA 15213",Y,Central Oakland,4,99,601.16 Public Urination And Defecation,406,3,3,-79.955320003954,40.4359009549765
214576367,19222794,10,2019-11-01T01:41:00,"800 Block Mt Pleasant Rd Pittsburgh, PA 15214",Y,Northview Heights,1,TERRORISTIC THREATS,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats. / 6106 Firearms not to be Carried without a License. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",2609,1,1,-79.9994763962932,40.4757519574098
214580313,19222900,14,2019-11-01T05:45:00,"2100 Block Perrysville Ave Pittsburgh, PA 15214",N,Perry South,1,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",2614,6,1,-80.0122625095356,40.4636813394895
214594973,19222997,14,2019-10-31T14:00:00,"1900 Block 5th Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,CRIM MISCHIEF,3304 Criminal Mischief.,305,2,5,-80.0520420475639,40.4359838396036
214600797,19223075,99,2019-11-01T12:00:00,"7200 Block Frankstown Ave Pittsburgh, PA 15208",N,Homewood South,5,DRUG INVESTIGATION,9124 Drug Investigation,1303,9,2,-79.8962697960688,40.4573889155008
214602074,19223072,6,2019-11-01T09:00:00,"600 Block Industry St Pittsburgh, PA 15210",N,Allentown,3,THEFT,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud,1803,3,5,-79.9973379352327,40.4207358202037
214605284,19223106,14,2019-10-31T22:00:00,"5000 Block Butler St Pittsburgh, PA 15201",N,Central Lawrenceville,2,CRIM MISCHIEF,3304 Criminal Mischief.,901,7,2,-79.9560797434932,40.4779374975773
214233531,19219296,10,2019-10-27T15:07:00,"100 Block Knox Ave Pittsburgh, PA 15210",Y,Knoxville,3,TERRORISTIC THREATS,2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,3001,3,5,-79.9905877515385,40.4155725063979
214234804,19219289,10,2019-10-27T14:15:00,"700 Block Mayville Ave Pittsburgh, PA 15226",Y,Brookline,6,SIMPLE ASSAULT,"2701 Simple Assault. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck",1917,4,5,-80.0119363786352,40.4014536386045
214237163,19219417,6,2019-10-27T18:30:00,"2800 Block Shadeland Ave Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,THEFT FROM AUTO,3934 Theft from Vehicle / 3925 Receiving Stolen Property. / 4914(A) False Identification to Law Enforcement,2715,1,1,-80.0301204911086,40.469952706302
214252896,19219605,99,2019-10-28T00:16:00,"Lamar St & Sunset Ave Pittsburgh, PA 15212",N,Northview Heights,1,FOUND PROPERTY,9489 Found Property,2609,1,1,-80.0005035276589,40.4741846671145
214254965,19219710,6,2019-10-28T04:22:00,"1400 Block Smallman St Pittsburgh, PA 15222",N,Strip District,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,203,7,6,-79.9904689667522,40.4479842975628
214256623,19219736,11,2019-10-27T20:05:00,"6200 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,CREDIT CARDS,4106 Access Device Fraud,1115,,,0,0
214267626,19219761,99,2019-10-28T07:43:00,"600 Block Suffolk St Pittsburgh, PA 15214",N,Perry South,1,MENTAL 201/302,9498 302 (Mental),2614,6,1,-80.0033130694198,40.4673388430035
214278587,19219794,5,2019-10-28T08:48:00,"2100 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,BURGLARY,3502 Burglary.,2902,4,3,-79.9865235535491,40.3931998334253
214280654,19219920,11,2019-10-28T10:00:00,"5600 Block Callowhill St Pittsburgh, PA 15206",N,Highland Park,5,IDENTITY THEFT,4120 Identity Theft,1102,7,2,-79.9228292606451,40.4786899131583
214282551,19218357,6,2019-10-20T23:00:00,"100 Block Orchard Pl Pittsburgh, PA 15210",N,Knoxville,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 4106 Access Device Fraud,3001,3,5,-79.9882586074882,40.4181363978564
214375951,19220941,6,2019-10-26T15:45:00,"2900 Block Autumnwood Dr Pittsburgh, PA 15216",N,Banksville,6,THEFT,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud,2023,,,0,0
214379738,19220916,11,2019-10-29T16:42:00,"900 Block Roselle Ct Pittsburgh, PA 15207",N,Glen Hazel,4,CREDIT CARDS,4106 Access Device Fraud,1504,,,0,0
214380586,19220942,11,2019-10-29T16:42:00,"900 Block Roselle Ct Pittsburgh, PA 15207",N,Glen Hazel,4,CREDIT CARDS,4106 Access Device Fraud,1504,,,0,0
214381905,19212774,99,2019-10-18T15:59:00,"2100 Block E Carson St Pittsburgh, PA 15203",Y,Central Business District,3,ARREST ON ATTACHMENT ORDER,9015 Failure To Appear/Arrest on Attachment Order,1609,3,3,-79.9760719669211,40.4283146103025
214386279,19221126,10,2019-10-29T21:10:00,"1700 Block Brighton Pl Pittsburgh, PA 15212",Y,California-Kirkbride,1,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 4304(a)(1) Endangering Welfare of Children.",2507,6,1,-80.0158935817082,40.458529066572
214387333,19221116,99,2019-10-29T21:14:00,"Bates St & Semple St Pittsburgh, PA 15213",Y,Central Oakland,4,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant / 3112 Traffic-Control Signals.,405,3,3,-79.9549722556172,40.4371082118705
214393050,19221155,29,2019-10-29T22:40:00,"900 Block Johnston Ave Pittsburgh, PA 15207",N,Glen Hazel,4,RUNAWAYS - JUVENILE,029 Missing Juvenile,1504,5,3,-79.9286344080454,40.4063362289732
214403120,19221233,0,2019-10-30T02:27:00,"Saw Mill Run Blvd & Library Rd Pittsburgh, PA 15227",Y,Overbrook,3,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment / 3809(a) Restriction on Alcoholic Beverages in Vehicle / 1786 Required Financial Responsibility. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3714 Careless Driving,3204,4,5,-79.9959750614578,40.3824894539496
-3319002327,19208957,6,2019-10-13T14:10:00,"Schenley Dr & W Circuit Rd Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1413,5,3,-79.943511410639,40.4397090407985
213368716,19209048,99,2019-10-13T16:05:00,"100 Block Lake Dr Pittsburgh, PA 15206",N,Homewood North,5,FOUND PROPERTY,9489 Found Property,1301,,,0,0
-3232001050,19209076,0,2019-10-13T17:31:00,"5400 Block Stanton Ave Pittsburgh, PA 15206",Y,Morningside,5,99,3503(a) Criminal Trespass,1014,7,2,-79.9304286614509,40.4728744308513
213370970,19209131,99,2019-10-13T18:48:00,"Forbes Ave & Atwood St Pittsburgh, PA 15213",N,Central Oakland,4,AIDED CASE,9497 Aided Case,405,3,3,-79.9576291371076,40.4410980089075
213373578,19209215,4,2019-10-13T21:26:00,"800 Block Brookline Blvd Pittsburgh, PA 15226",Y,Brookline,6,AGG-ASSAULT,2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 13(a)(31) Marijuana: Possession Small Amount / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,1918,4,5,-80.0201234537695,40.3935764360233
213411546,19209560,11,2019-10-14T10:45:00,"1100 Block Berdella St Pittsburgh, PA 15220",N,Elliott,6,THEFT BY DECEPTION,3922 Theft by Deception. / 517.8 Home Improvement Fraud,2020,2,5,-80.0460392794572,40.4422585448069
214491511,19221808,3,2019-10-30T19:35:00,"1800 Block Morningside Ave Pittsburgh, PA 15206",N,Morningside,5,ROBBERY,3701 Robbery. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1014,7,2,-79.9268250101656,40.4865065649152
-3147003317,19221821,99,2019-10-30T20:09:00,"Smithfield St & 5th Ave Pittsburgh, PA 15222",Y,Central Business District,2,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant / 3926(a)(4) Theft of services; ACQUISITION OF SERVICES - refusal to pay or offer to pay for a service (hotels and restaurants),201,6,6,-79.9986492578242,40.4400935862419
214491591,19216801,99,2019-10-22T08:15:00,"700 Block Mercer St Pittsburgh, PA 15219",N,Crawford-Roberts,2,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,305,,,0,0
-3301022117,19221871,11,2019-10-28T15:00:00,"300 Block Stratford Ave Pittsburgh, PA 15232",N,Friendship,5,THEFT BY DECEPTION,3922 Theft by Deception. / 4120 Identity Theft,807,7,2,-79.9336084906258,40.4609598699408
-3341001124,19221899,6,2019-10-30T22:45:00,"1700 Block Brighton Pl Pittsburgh, PA 15212",N,California-Kirkbride,1,THEFT FROM AUTO,3934 Theft from Vehicle,2507,6,1,-80.0158935817082,40.458529066572
214497800,19221944,5,2019-10-31T00:30:00,"2300 Block Tilbury Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,BURGLARY,3502 Burglary.,1408,5,3,-79.9181586908534,40.430820944547
213691516,19212495,5,2019-10-17T07:00:00,"300 Block Melwood Ave Pittsburgh, PA 15213",N,North Oakland,4,BURGLARY,3502 Burglary.,507,6,3,-79.9507528971167,40.4524545869485
213695308,19212528,27,2019-10-18T07:00:00,"5600 Block 2nd Ave Pittsburgh, PA 15207",N,Hazelwood,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1515,5,3,-79.9390660171278,40.4008034116569
213695745,19212547,0,2019-10-18T09:36:00,"200 Block Auburn St Pittsburgh, PA 15206",N,Larimer,5,99,9999 9999 - (Misc. Incident): ,1208,9,2,-79.9145224059692,40.4618395913196
213711892,19212619,4,2019-10-14T12:35:00,"100 Block Hyman Pl Pittsburgh, PA 15213",Y,Terrace Village,2,AGG-ASSAULT,2702 Aggravated Assault. / 2701 Simple Assault. / 2705 Recklessly Endangering Another Person.,510,6,3,-79.9706240840632,40.4410691051351
213725998,19212148,10,2019-10-17T18:15:00,"100 Block N St Clair St Pittsburgh, PA 15206",N,East Liberty,5,HARRASSMENT,2709(a) Harassment.,1115,7,2,-79.9219784772371,40.473643601969
213727383,19212844,18,2019-10-18T17:45:00,"Sherwood Ave & Zephyr Ave Pittsburgh, PA 15204",Y,Sheraden,6,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 4703 Operation of Vehicle without Official Certif. of Inspection / 1311 Registration Card to be Signed and Exhibited on Demand. / 1786 Required Financial Responsibility.,2018,2,5,-80.0529254505929,40.4557514714224
213731369,19212881,27,2019-10-18T17:59:00,"Centre Ave & Penn Ave Pittsburgh, PA 15206",N,Shadyside,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3736 Reckless Driving / 3746 Immediate Notice of Accident to Police Department / 1785 Proof of Financial Responsibility Following Accident.,705,8,2,-79.9227262603727,40.4606638146588
213733137,19211449,17,2019-10-15T14:52:00,Zone 5,N,,5,SEXUAL ABUSE OF CHILDREN,6312 Sexual Abuse of Children.,,,,,
213737072,19213034,10,2019-10-18T22:00:00,"5100 Block Broad St Pittsburgh, PA 15224",N,Garfield,5,HARRASSMENT,2709(a) Harassment.,1017,9,2,-79.9424934567213,40.4664598428219
213737108,19213040,11,2019-10-18T21:30:00,"8200 Block Bricelyn St Pittsburgh, PA 15221",N,East Hills,5,CREDIT CARDS,4106 Access Device Fraud,1306,9,2,-79.8799794212724,40.4541655193273
213738440,19212959,6,2019-10-18T20:00:00,"2500 Block Edgar St Pittsburgh, PA 15210",Y,Central Business District,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2904,4,3,-79.9819230329575,40.3858727533904
213741601,19213071,9,2019-10-18T19:00:00,"500 Block Brookline Blvd Pittsburgh, PA 15226",N,Brookline,6,FORGERY,"4101 Forgery. / 3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc.",1918,4,5,-80.0236345649749,40.3962210607594
214444189,19221435,99,2019-10-30T09:50:00,"3400 Block Blvd Of The Allies Pittsburgh, PA 15213",Y,Central Oakland,4,FOUND DRUGS,9017 Found Drugs,405,3,3,-79.9571772829244,40.4349932684621
214602218,19223068,27,2019-11-01T11:30:00,"2100 Block Centre Ave Pittsburgh, PA 15219",N,Middle Hill,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,501,6,3,-79.9788764417094,40.4443711190007
